PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 1. polrok 2016;;;;;;;;;
;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;
;;;;;;;;;
Spoločnosť poskytujúca plnenie;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
Názov spoločnosti;Obec sídla spoločnosti;Okres sídla spoločnosti;Kraj sídla spoločnosti;Výdavky na marketing;Výdavky na propagáciu lieku;Zdravotnícky pracovník;Poskytovateľ zdravotnej starostlivosti;Zdravotnícky pracovník;Poskytovateľ zdravotnej starostlivosti
NAZOV;SIDSPOL_OBEC_POP_ST;SIDSPOL_OKRES_POP_ST;SIDSPOL_KRAJ_POP_ST;VYD_MARKET;VYD_PROP_LIEK;DAR_PEN_1;DAR_PEN_2;DAR_NEPEN_1;DAR_NEPEN_2
RNDr. Anna Urbanová-Lekáreň Médea;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
PHARMACOPOLA, s.r.o.;Žiar nad Hronom;Okres Žiar nad Hronom;Banskobystrický kraj;0,00;0,00;;;;
U zeleného hada spol. s r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;;;;;;
VARTEX s.r.o.;Krupina;Okres Krupina;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň U HIPPOKRATA;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
lekáreň PODBREZOVÁ-Mgr.SUDA JIŘÍ;Podbrezová;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň MONTANA;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
PHARMINVEST spol. s r.o.;Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň Divín,s.r.o.;Divín;Okres Lučenec;Banskobystrický kraj;5,00;0,00;;;;
SAPPADA, spol. s r.o.o;Zvolen;Okres Zvolen;Banskobystrický kraj;5 080,00;0,00;;;;
Radvanská lekáreň;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Horna NB;Nová Baňa;Okres Žarnovica;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň Slnečnica 04;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
M. J. Team, s.r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
Lekaren pri Artezske s.r.o.;Lučenec;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
REN-MED s r.o.;Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický kraj;0,00;0,00;;;;
NOLUX sro;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;200,00;0,00;;;;
Lekáreň na námestí, Lučenec s.r.o.;Lučenec;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň Biely Lev s.r.o.;Veľký Krtíš;Okres Veľký Krtíš;Banskobystrický kraj;239,04;0,00;;;;
Spasiteľ, s.r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň Flora, s.r.o.;Žiar nad Hronom;Okres Žiar nad Hronom;Banskobystrický kraj;0,00;0,00;;;;
medea - NB;Nová Baňa;Okres Žarnovica;Banskobystrický kraj;0,00;0,00;;;;
MIMI, s.r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
MILPHARM, s.r.o.;Brezno;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
medvit;Nová Baňa;Okres Žarnovica;Banskobystrický kraj;0,00;0,00;;;;
PRAMEŇ ZVOLEN s.r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
Lekareň RIMAVA s.r.o.;Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický kraj;0,00;0,00;;;;
ORTHIVO spol. s r. o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;1 188,00;0,00;;2 140,00;;
SladMedica s.r.o.;Hriňová;Okres Detva;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň Slnečnica spol.s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň Slnečnica 02,spol.s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
alchemist;Vlkanová;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
PHRM-VIDIEK, spol. s r.o.;Hrochoť;Okres Banská Bystrica;Banskobystrický kraj;300,00;0,00;;300,00;;0,00
PRIMULA-JK,s.r.o;Lučenec;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
Kaplek s.r.o.;Nenince;Okres Veľký Krtíš;Banskobystrický kraj;100,00;0,00;;;;
