PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 2. polrok 2016;;;;;;;;;
;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;
;;;;;;;;;
Spoločnosť poskytujúca plnenie;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
Názov spoločnosti;Obec sídla spoločnosti;Okres sídla spoločnosti;Kraj sídla spoločnosti;Výdavky na marketing;Výdavky na propagáciu lieku;Zdravotnícky pracovník;Poskytovateľ zdravotnej starostlivosti;Zdravotnícky pracovník;Poskytovateľ zdravotnej starostlivosti
NAZOV;SIDSPOL_OBEC_POP_ST;SIDSPOL_OKRES_POP_ST;SIDSPOL_KRAJ_POP_ST;VYD_MARKET;VYD_PROP_LIEK;DAR_PEN_1;DAR_PEN_2;DAR_NEPEN_1;DAR_NEPEN_2
Mgr. Zuzana Kubalová- MELISSA;Pliešovce;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
Pharm. Dr. Jaroslav Páterek MEDEX;Dudince;Okres Krupina;Banskobystrický kraj;0,00;0,00;;;;
RNDr.Anna Urbanová-Lekáreň Médea;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
Mgr.Jana Vojtková-lekáreň Arnica;Závadka nad Hronom;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
PharmDr. Peter Mihálik lekáreň Panacea;Veľký Krtíš;Okres Veľký Krtíš;Banskobystrický kraj;0,00;0,00;;;;
Vojtech Majerčík - RIO;Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický kraj;0,00;0,00;;;;
PHARMACOPOLA, s.r.o.;Žiar nad Hronom;Okres Žiar nad Hronom;Banskobystrický kraj;0,00;0,00;;;;
ZDRAVIE;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;;;;;;
IRIS spol. s r.o;Žiar nad Hronom;Okres Žiar nad Hronom;Banskobystrický kraj;0,00;0,00;;;;
AKOLa, s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Valeriana;Žarnovica;Okres Žarnovica;Banskobystrický kraj;;;;;;
Lekáreň Alpinia s.r.o.;Žiar nad Hronom;Okres Žiar nad Hronom;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň U Galenaeur;Detva;Okres Detva;Banskobystrický kraj;0,00;0,00;;;;
U zeleného hada spol. s r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;;;;;;
VARTEX s.r.o.;Krupina;Okres Krupina;Banskobystrický kraj;;;;;;
Lekáreň pri nemocnici s.r.o.;Brezno;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
Lekareň Pri nemocnici;Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň Montana;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Jana Házyová-REVITAL;Revúca;Okres Revúca;Banskobystrický kraj;0,00;0,00;;;;
Paed.Dr.Nadežda Simanová - Lekáreň podlavice;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
PharmInvest s.r.o;Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický kraj;2 710,34;0,00;;;;
Lekáreň U čierneho orla s.r.o.;Veľký Krtíš;Okres Veľký Krtíš;Banskobystrický kraj;0,00;0,00;;;;
GEMED s.r.o.;Rimavské Janovce;Okres Rimavská Sobota;Banskobystrický kraj;0,00;0,00;;;;
SAPPADA spol. s r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;7 366,81;;;;;
UNITHERM, s.r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;;;;;;
Radvanská lekáreň s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Horná NB sro;Nová Baňa;Okres Žarnovica;Banskobystrický kraj;0,00;0,00;;;;
RC&T Detva s.r.o.;Detva;Okres Detva;Banskobystrický kraj;0,00;0,00;;;;
Lekaren pri Artezske s.r.o.;Lučenec;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
RECEPT Zvolen;Zvolen;Okres Zvolen;Banskobystrický kraj;783,03;;783,08;;;
AURUM B.B.spol s r.o.;Brezno;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
Audiofon;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;1 990,00;;;;;
Lekáreň na námestí Lučenec, s.r.o.;Lučenec;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň Biely Lev s.r.o.;Veľký Krtíš;Okres Veľký Krtíš;Banskobystrický kraj;239,04;0,00;;;;
Lekáreň Flora,s.r.o.;Žiar nad Hronom;Okres Žiar nad Hronom;Banskobystrický kraj;0,00;0,00;;;;
