PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 2. polrok 2017;;;;;;;;;
;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;
;;;;;;;;;
Spoločnosť poskytujúca plnenie;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
Názov spoločnosti;Obec sídla spoločnosti;Okres sídla spoločnosti;Kraj sídla spoločnosti;Výdavky na marketing;Výdavky na propagáciu lieku;Zdravotnícky pracovník;Poskytovateľ zdravotnej starostlivosti;Zdravotnícky pracovník;Poskytovateľ zdravotnej starostlivosti
NAZOV;SIDSPOL_OBEC_POP_ST;SIDSPOL_OKRES_POP_ST;SIDSPOL_KRAJ_POP_ST;VYD_MARKET;VYD_PROP_LIEK;DAR_PEN_1;DAR_PEN_2;DAR_NEPEN_1;DAR_NEPEN_2
Národné rehabilitačné centrum Kováčová;Kováčová;Okres Zvolen;Banskobystrický kraj;255,55;;;;;
Mgr. Zuzana Kubalová- MELISSA;Pliešovce;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
RNDr.Anna Urbanová-Lekáreň Médea;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
PHARMACOPOLA, s.r.o.;Žiar nad Hronom;Okres Žiar nad Hronom;Banskobystrický kraj;;;;;;
Globpharma spol s r. o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
ZDRAVIE;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;;;;;;
AKOLA, s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;;;;;;
Lekáreň U Galena s.r.o.;Detva;Okres Detva;Banskobystrický kraj;0,00;0,00;;;;
U ZELENÉHO HADA, spol. s r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
VARTEX, s.r.o.;Krupina;Okres Krupina;Banskobystrický kraj;;;;;;
Lekáreň pri nemocnici s.r.o.;Brezno;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
LEKÁREŃ PODBREZOVÁ;Podbrezová;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
RNDr. Marcela Zvarová Lekáreň AQUA VIVA;Veľký Krtíš;Okres Veľký Krtíš;Banskobystrický kraj;0,00;0,00;;;;
Katarína Bajnoková MEDOKAD;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
Paedr.Dr.Simanová-Lekáreň Podlavice;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Mgr. Peter Niklíček, Lekáreň AESCULAP;Jesenské;Okres Rimavská Sobota;Banskobystrický kraj;0,00;0,00;;;;
SAPPADA, spol. s r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;14 365,00;0,00;;;;
SPEKTRUM KK s.r.o.;Detva;Okres Detva;Banskobystrický kraj;0,00;0,00;;;;
RC&T Detva s.r.o.;Detva;Okres Detva;Banskobystrický kraj;;;;;;
Lekareň pri Artezske s.r.o.;Lučenec;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň na námestí Lučenec, s.r.o.;Lučenec;Okres Lučenec;Banskobystrický kraj;;;;;;
Lekáreň Biely Lev s.r.o.;Veľký Krtíš;Okres Veľký Krtíš;Banskobystrický kraj;239,04;;;;;
Lekáreň Flora, s.r.o.;Žiar nad Hronom;Okres Žiar nad Hronom;Banskobystrický kraj;0,00;0,00;;;;
REGIA LC s.r.o.;Lučenec;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
Bluepharm s.r.o.;Revúca;Okres Revúca;Banskobystrický kraj;0,00;0,00;;;;
MIS GROUPE s.r.o.;Lučenec;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
PRAMEN ZVOLEN s.r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň RIMAVA s.r.o.;Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický kraj;;;;;;
ALTHEA;Žarnovica;Okres Žarnovica;Banskobystrický kraj;;;;;;
PharmDr. Helena Ludhová, Lekáreň U Sv. Antona s IPLP;Detva;Okres Detva;Banskobystrický kraj;0,00;0,00;;;;
lekarenlupcianska;Poniky;Okres Banská Bystrica;Banskobystrický kraj;5 400,00;;;;;
MELISSAMO;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Lekaren Ambrozia;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Verejná lekáreň Polomka s.r.o.;Polomka;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
MF Centrum, s.r.o.;Banská Štiavnica;Okres Banská Štiavnica;Banskobystrický kraj;;;;;;
