PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 1. polrok 2017;;;;;;;;;
;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;
;;;;;;;;;
Spoločnosť poskytujúca plnenie;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
Názov spoločnosti;Obec sídla spoločnosti;Okres sídla spoločnosti;Kraj sídla spoločnosti;Výdavky na marketing;Výdavky na propagáciu lieku;Zdravotnícky pracovník;Poskytovateľ zdravotnej starostlivosti;Zdravotnícky pracovník;Poskytovateľ zdravotnej starostlivosti
NAZOV;SIDSPOL_OBEC_POP_ST;SIDSPOL_OKRES_POP_ST;SIDSPOL_KRAJ_POP_ST;VYD_MARKET;VYD_PROP_LIEK;DAR_PEN_1;DAR_PEN_2;DAR_NEPEN_1;DAR_NEPEN_2
Mgr. Zuzana Kubalová-MELISSA;Pliešovce;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
PHARMACOPOLA, s.r.o.;Žiar nad Hronom;Okres Žiar nad Hronom;Banskobystrický kraj;;;;;;
Globpharma;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
U zeleného hada spol. s r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;;;;;;
VARTEX s.r.o.;Krupina;Okres Krupina;Banskobystrický kraj;150,00;0,00;;;;
Lekáreň U HIPPOKRATA spol. s r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;;;;;;
Lekáreň pri nemocnici s.r.o.;Brezno;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň MONTANA;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;;;;;100,00;
Paed.Dr.Nadežda Simanová-Lekáreň Podlavice;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
GEMED s.r.o.;Rimavské Janovce;Okres Rimavská Sobota;Banskobystrický kraj;0,00;0,00;;;;
SAPPADA spol. s r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;7 722,00;142,90;;;;
RC&T Detva,s.r.o, Lekáreň sv. Anny;Detva;Okres Detva;Banskobystrický kraj;0,00;0,00;;;;
M.J.Team, s.r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
Lekaren pri Artezske;Lučenec;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
nolux;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň na námestí Lučenec, s.r.o.;Lučenec;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň Biely Lev s.r.o.;Veľký Krtíš;Okres Veľký Krtíš;Banskobystrický kraj;239,04;0,00;;;;
Spasiteľ s.r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň Flora, s.r.o.;Žiar nad Hronom;Okres Žiar nad Hronom;Banskobystrický kraj;0,00;0,00;;;;
MILPHARM;Brezno;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
PRAMEN ZVOLENs.r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň RIMAVA s.r.o.;Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický kraj;;;;;;
Mgr.Šoošová Želmíra;Poniky;Okres Banská Bystrica;Banskobystrický kraj;4 680,00;;;;;
Verejná lekáreň Polomka s.r.o.;Polomka;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
TS Pharma s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;63 301,90;10 822,17;;;;
Lekáreň SRDCE;Sliač;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
Pharmedic;Krupina;Okres Krupina;Banskobystrický kraj;0,00;0,00;;;;
CARTAXO s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Tabletka s.r.o.;Veľká Lehota;Okres Žarnovica;Banskobystrický kraj;;;;;;
NaturePharm s.r.o.;Krupina;Okres Krupina;Banskobystrický kraj;0,00;0,00;;;;
PaedDr.Zuzana Hufková Bódiová;Horná Ves;Okres Žiar nad Hronom;Banskobystrický kraj;0,00;0,00;;;;
Delpharm s.r.o.;Sása;Okres Zvolen;Banskobystrický kraj;;;;;;
lekáreň Tesco Zvolen;Zvolen;Okres Zvolen;Banskobystrický kraj;525,00;;;;;
lekáreň Tesco Banská Bystrica;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;525,00;;;;;
Lekáreň Alchemilka spol.sr.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Ravapharm DK s.r.o.;Banská Štiavnica;Okres Banská Štiavnica;Banskobystrický kraj;0,00;1 339,87;;;;
