;;PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 1. polrok 2019;;;;;;;;;
;;;;;;;;;;;
;;Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;
;;Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;
;;;;;;;;;;;
;;Spoločnosť poskytujúca plnenie;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
Rok spracovania;Mesiac spracovania;Názov spoločnosti;Obec sídla spoločnosti;Okres sídla spoločnosti;Kraj sídla spoločnosti;Výdavky na marketing;Výdavky na propagáciu lieku;Zdravotnícky pracovník;Poskytovateľ zdravotnej starostlivosti;Zdravotnícky pracovník;Poskytovateľ zdravotnej starostlivosti
ROK_SPRAC;MESIAC_SPRAC;NAZOV;SIDSPOL_OBEC_POP_ST;SIDSPOL_OKRES_POP_ST;SIDSPOL_KRAJ_POP_ST;VYD_MARKET;VYD_PROP_LIEK;DAR_PEN_1;DAR_PEN_2;DAR_NEPEN_1;DAR_NEPEN_2
2019;06;Mgr. Zuzana Kubalová MELISSA;Pliešovce;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
2019;06;PHARMACOPOLA, s.r.o.;Žiar nad Hronom;Okres Žiar nad Hronom;Banskobystrický kraj;;;;;;
2019;06;U ZELENÉHO HADA, spol. s r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;600,00;;;;;
2019;06;Vartex s.r.o.;Krupina;Okres Krupina;Banskobystrický kraj;;;;;;
2019;06;PaedDr.Nadežda Simanova-Lekáreň Podlavice;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
2019;06;Mgr. Petr Niklíček, lekáreň AESCULAP;Jesenské;Okres Rimavská Sobota;Banskobystrický kraj;0,00;0,00;;;;
2019;06;Sappada spol. s r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;12 300,00;;;;;
2019;06;Lekáreň Biely Lev s.r.o.;Veľký Krtíš;Okres Veľký Krtíš;Banskobystrický kraj;239,04;;;;;
2019;06;Lekáreň Flora,s.r.o.;Žiar nad Hronom;Okres Žiar nad Hronom;Banskobystrický kraj;0,00;0,00;;;;
2019;06;MILPHARM;Brezno;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
2019;06;REGIA LC s.r.o.;Lučenec;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
2019;06;Lekáreň RIMAVA s.r.o.;Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický kraj;;;;;;
2019;06;Mgr. Zoltán Antal, Lekáreň Azaela;Tornaľa;Okres Revúca;Banskobystrický kraj;0,00;0,00;;;;20,00
2019;06;TS Pharma s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
2019;06;Srnkapharm;Beňuš;Okres Brezno;Banskobystrický kraj;23 000,00;;;;;
2019;06;PharmaComp;Žarnovica;Okres Žarnovica;Banskobystrický kraj;0,00;0,00;;;;
2019;06;Spasiteľ SK, s.r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
2019;06;Národný onkologický ústav;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
2019;06;MIKROCHEM spol. s r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
2019;06;Tatra-Alpine, a.s.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;7 057,00;;;600,00;;
2019;06;INTEC PHARMA s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;;;;;;
2019;06;MGP, spol. s r. o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;7 155,61;35 221,30;14 481,26;1 075,80;16 652,21;0,00
2019;06;Messer Tatragas, spol.s r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
2019;06;SYNERGIA a.s.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
2019;06;Berlin-Chemie A.G.-obchodné zastúpenie v SR;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;7 110,27;44 033,89;;
2019;06;Galderma-Spirig Česká a Slovenská republika a.s. - v likvidácii;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;4 397,99;;;;;
2019;06;Octapharma AG, o.z.z.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;15 432,41;;;;;
2019;06;Interpharm spol.s.r.o.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
2019;06;Merck spol. s r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;82 451,66;15 085,48;82 308,43;30 300,00;96 381,59;
2019;06;sanofi-aventis Slovakia s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;;;;;;
2019;06;Hikma Pharmaceuticals LTD, CO;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;36 667,20;1 726,60;26 270,00;800,00;;
2019;06;Naturprodukt, spol. s r.o.;Ivanka pri Dunaji;Okres Senec;Bratislavský kraj;66 596,76;115 040,20;562,77;2 436,00;;
2019;06;Ewopharma spol. s r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;79 012,74;100 965,08;6 102,00;13 707,60;9 923,64;84,10
2019;06;Johnson & Johnson, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;928 317,22;124 342,24;79 961,59;;117 835,66;
2019;06;B. Braun Medical s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;6 244,77;;13 660,91;146 413,07;;
2019;06;Reckitt Benckiser (Slovak Republic), spol. s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;434 033,00;278 126,00;;;;
2019;06;UNIMED PHARMA spol. s r.o;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;12 941,00;;;;5 028,80;7 912,80
2019;06;Takeda Pharmaceuticals Slovakia;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;278 653,50;151 838,36;25 945,79;14 300,00;81 259,27;
2019;06;Aeskulap spol.s r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
2019;06;Protea spol.s.r.o;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;874,35;;;;;
2019;06;BGN s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
2019;06;MichalekPharm, spol. s r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;199,20;;;;;
